source_name,headline,article_url,publication_date,discovery_source,collection_timestamp,audit_status,reason,qa_status,date_status
Ean Libya,المعالجة الجذرية لملف الهجرة,https://www.eanlibya.com/%d8%a7%d9%84%d9%85%d8%b9%d8%a7%d9%84%d8%ac%d8%a9-%d8%a7%d9%84%d8%ac%d8%b0%d8%b1%d9%8a%d8%a9-%d9%84%d9%85%d9%84%d9%81-%d8%a7%d9%84%d9%87%d8%ac%d8%b1%d8%a9/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,محاولات للاستيلاء على أموال ليبية في فرنسا,https://www.eanlibya.com/%d9%85%d8%ad%d8%a7%d9%88%d9%84%d8%a7%d8%aa-%d9%84%d9%84%d8%a7%d8%b3%d8%aa%d9%8a%d9%84%d8%a7%d8%a1-%d8%b9%d9%84%d9%89-%d8%a3%d9%85%d9%88%d8%a7%d9%84-%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%81%d9%8a-%d9%81/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,الأسواق تشتعل.. النفط يقفز والذهب يتراجع بشكل حادّ,https://www.eanlibya.com/%d8%a7%d8%b6%d8%b7%d8%b1%d8%a7%d8%a8%d8%a7%d8%aa-%d8%a7%d9%84%d8%b4%d8%b1%d9%82-%d8%a7%d9%84%d8%a3%d9%88%d8%b3%d8%b7-%d8%aa%d8%af%d8%b9%d9%85-%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d9%88%d8%aa%d8%b6%d8%ba/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,أوبك تعيد رسم سياسات «إنتاج النفط» حتى 2027,https://www.eanlibya.com/%d9%88%d8%b2%d8%a7%d8%b1%d8%a9-%d8%a7%d9%84%d9%86%d9%81%d8%b7-%d9%88%d8%a7%d9%84%d8%ba%d8%a7%d8%b2-%d8%aa%d8%b3%d8%aa%d8%b9%d8%b1%d8%b6-%d8%a3%d8%a8%d8%b1%d8%b2-%d9%85%d8%ae%d8%b1%d8%ac%d8%a7%d8%aa/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,السويحلي يكتب التاريخ.. بطل «الدوري الليبي» للمرة الأولى في مسيرته,https://www.eanlibya.com/%d8%a7%d9%84%d8%b3%d9%88%d9%8a%d8%ad%d9%84%d9%8a-%d9%8a%d9%83%d8%aa%d8%a8-%d8%a7%d9%84%d8%aa%d8%a7%d8%b1%d9%8a%d8%ae-%d8%a8%d8%b7%d9%84%d9%8b%d8%a7-%d9%84%d9%84%d8%af%d9%88%d8%b1%d9%8a-%d8%a7%d9%84/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,قبل نهائي النسخة 53.. من يضيف اسمه إلى سجل أبطال «الدوري الليبي»؟,https://www.eanlibya.com/%d9%82%d8%a8%d9%84-%d9%86%d9%87%d8%a7%d8%a6%d9%8a-%d8%a7%d9%84%d9%86%d8%b3%d8%ae%d8%a9-53-%d9%85%d9%86-%d9%8a%d8%b6%d9%8a%d9%81-%d8%a7%d8%b3%d9%85%d9%87-%d8%a5%d9%84%d9%89-%d8%b3%d8%ac%d9%84-%d8%a3/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,إعلان «أنا الليبي» يرفع اسم البلاد عالمياً.. 3 جوائز دولية مرموقة,https://www.eanlibya.com/%d8%a3%d9%86%d8%a7-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a-%d9%8a%d8%b1%d9%81%d8%b9-%d8%a7%d8%b3%d9%85-%d8%a7%d9%84%d8%a8%d9%84%d8%a7%d8%af-%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a7%d9%8b-3/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,سلسلة مآسٍ عالمية.. غرق مهاجرين وحوادث دامية بعدّة دول,https://www.eanlibya.com/%d8%b3%d9%84%d8%b3%d9%84%d8%a9-%d9%85%d8%a2%d8%b3%d9%8d-%d8%b9%d8%a7%d9%84%d9%85%d9%8a%d8%a9-%d8%ba%d8%b1%d9%82-%d9%85%d9%87%d8%a7%d8%ac%d8%b1%d9%8a%d9%86-%d9%88%d8%ad%d9%88%d8%a7%d8%af%d8%ab-%d8%af/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,بعد اختفاء ملياري يورو من حسابات ليبيا.. «علي محمود» يرفض المثول أمام القضاء,https://www.eanlibya.com/%d8%a8%d8%b9%d8%af-%d8%a7%d8%ae%d8%aa%d9%81%d8%a7%d8%a1-%d9%85%d9%84%d9%8a%d8%a7%d8%b1%d9%8a-%d9%8a%d9%88%d8%b1%d9%88-%d9%85%d9%86-%d8%ad%d8%b3%d8%a7%d8%a8%d8%a7%d8%aa-%d9%84%d9%8a%d8%a8%d9%8a%d8%a7/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
Ean Libya,خلال عقد من الزمن.. المؤسسة الليبية للاستثمار تُخيب الآمال بتحقيق مكاسب ضئيلة,https://www.eanlibya.com/%d8%ae%d9%84%d8%a7%d9%84-%d8%b9%d9%82%d8%af-%d9%85%d9%86-%d8%a7%d9%84%d8%b2%d9%85%d9%86-%d8%a7%d9%84%d9%85%d8%a4%d8%b3%d8%b3%d8%a9-%d8%a7%d9%84%d9%84%d9%8a%d8%a8%d9%8a%d8%a9-%d9%84%d9%84%d8%a7%d8%b3/,,https://www.eanlibya.com/,2026-06-09T09:26:34Z,not_in_final_report,missing_date,needs_review,missing_date
