headline,source,promoted,promotion_reason,recovered_date,theme,narrative_type
Report: UN-African Coordination on Libya Meets Obstacles from Internal Complexities and Multiple Power Centers,Libya Update,no,not_promoted:date_recovery_failed,,Society,meeting
Libya's army chief killed in air crash in Turkey,BBC,no,not_promoted:date_recovery_failed,,International Relations,diplomatic_context
Trial of Libyan accused of Lockerbie bombing delayed again,BBC,no,not_promoted:date_recovery_failed,,Society,development
US prosecutors say Libyan freely confessed to Lockerbie bombing,BBC,no,not_promoted:date_recovery_failed,,Society,development
Nicolas Sarkozy sentenced to five years in Libya campaign financing case,BBC,no,not_promoted:date_recovery_failed,,Society,development
Musa al Sadr: Body seen in Libyan mortuary could solve 50-year mystery of vanished religious leader,BBC,no,not_promoted:date_recovery_failed,,Society,development
Official signing of Exploration Production and Sharing Agreements (EPSAs) for the 2025 bid round took place in Tripoli,Libya Herald,no,not_promoted:date_recovery_failed,,Society,development
Libyan Business Council organises debate on startup ecosystem and venture capital,Libya Herald,no,not_promoted:date_recovery_failed,,Society,development
UK government revises travel advice on Libya,Libya Herald,no,not_promoted:date_recovery_failed,,Public Administration,public_services_item
Libya Arrests Human Traffickers & Frees 263 Migrants,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
Libya Arrests Airport Officials Over Smuggling Plot,Libya Review,no,not_promoted:date_recovery_failed,,Crime & Enforcement,development
Libya Arrests Maltese Fugitive on Interpol’s Most Wanted List,Libya Review,no,not_promoted:date_recovery_failed,,Crime & Enforcement,development
Libya Arrests 12 Chinese Nationals for Illegal Crypto Mining,Libya Review,no,not_promoted:date_recovery_failed,,Crime & Enforcement,development
Libya Arrests “Foreign Smuggling Gang”,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
Libya Arrests Tunisian Wanted by INTERPOL,Libya Review,yes,review_queue_recovered:article_text; narrative_type=development; theme=Crime & Enforcement; marker=arrest,2026-06-17,Crime & Enforcement,development
Libya Foils Desert Smuggling Operation & Rescues 52 Migrants,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
Libya Foils Smuggling Bid as 52 Migrants Stopped in Benghazi,Libya Review,no,not_promoted:date_recovery_failed,,Migration Policy,development
Libya Migrant Deaths Reveal Dark Reality of Human Smuggling Routes,Libya Review,no,not_promoted:date_recovery_failed,,Migration Routes & Trafficking,development
18 Migrants Held in Libya as Authorities Disrupt Smuggling Route,Libya Review,no,not_promoted:date_recovery_failed,,Migration Routes & Trafficking,development
